date, pm25, pm10, o3, no2,region
2019/10/7, 10, 14, 28, 23,occitanie
2019/10/8, 25, 22, 24, 16,occitanie
2019/10/9, 37, 15, 28, 12,occitanie
2019/10/10, 32, 16, 25, 20,occitanie
2019/10/11, 29, 29, 31, 16,occitanie
2019/10/12, 40, 31, 32, 11,occitanie
2019/10/13, 42, 33, 29, 17,occitanie
2019/10/14, 50, 40, 29, 7,occitanie
2019/10/15, 47, 16, 27, 17,occitanie
2019/10/16, 29, 20, 32, 18,occitanie
2019/10/17, 33, 27, 32, 23,occitanie
2019/10/18, 36, 33, 38, 13,occitanie
2019/10/19, 51, 44, 38, 5,occitanie
2019/10/20, 57, 28, 18, 18,occitanie
2019/10/21, 43, 17, 17, 9,occitanie
2019/10/22, 31, 18, 26, 12,occitanie
2019/10/23, 32, 22, 27, 15,occitanie
2019/10/24, 45, 13, 25, 16,occitanie
2019/10/25, 30, 17, 31, 20,occitanie
2019/10/26, 39, 26, 34, 13,occitanie
2019/10/27, 63, 30, 20, 17,occitanie
2019/10/28, 69, 28, 22, 17,occitanie
2019/10/29, 66, 29, 15, 18,occitanie
2019/10/30, 69, 26, 23, 9,occitanie
2019/10/31, 66, 14, 23, 12,occitanie
2019/11/1, 38, 13, 20, 8,occitanie
2019/11/2, 30, 9, 29, 4,occitanie
2019/11/3, 14, 11, 23, 14,occitanie
2019/11/4, 27, 9, 25, 9,occitanie
2019/11/5, 18, 6, 24, 5,occitanie
2019/11/6, 13, 10, 17, 13,occitanie
2019/11/7, 19, 8, 25, 9,occitanie
2019/11/8, 15, 5, 24, 5,occitanie
2019/11/9, 14, 7, 26, 8,occitanie
2019/11/10, 21, 8, 25, 8,occitanie
2019/11/11, 25, 7, 28, 8,occitanie
2019/11/12, 14, 7, 26, 12,occitanie
2019/11/13, 12, 9, 20, 15,occitanie
2019/11/14, 14, 11, 19, 15,occitanie
2019/11/15, 32, 13, 19, 17,occitanie
2019/11/16, 37, 16, 20, 7,occitanie
2019/11/17, 55, 21, 24, 18,occitanie
2019/11/18, 62, 17, 21, 19,occitanie
2019/11/19, 49, 18, 17, 17,occitanie
2019/11/20, 44, 18, 22, 21,occitanie
2019/11/21, 48, 20, 28, 15,occitanie
2019/11/22, 31, 34, 29, 12,occitanie
2019/11/23, 26, 9, 31, 4,occitanie
2019/11/24, 13, 20, 16, 22,occitanie
2019/11/25, 38, 37, 17, 25,occitanie
2019/11/26, 72, 21, 27, 22,occitanie
2019/11/27, 45, 19, 28, 19,occitanie
2019/11/28, 38, 16, 28, 19,occitanie
2019/11/29, 35, 11, 19, 17,occitanie
2019/11/30, 21, 13, 18, 14,occitanie
2019/12/1, 29, 17, 21, 15,occitanie
2019/12/2, 46, 8, 20, 11,occitanie
2019/12/3, 23, 12, 14, 13,occitanie
2019/12/4, 36, 21, 12, 23,occitanie
2019/12/5, 51, 34, 13, 21,occitanie
2019/12/6, 79, 39, 13, 15,occitanie
2019/12/7, 90, 19, 26, 16,occitanie
2019/12/8, 56, 11, 33, 13,occitanie
2019/12/9, 27, 9, 28, 17,occitanie
2019/12/10, 13, 20, 19, 18,occitanie
2019/12/11, 59, 11, 31, 25,occitanie
2019/12/12, 21, 12, 34, 11,occitanie
2019/12/13, 33, 7, 33, 14,occitanie
2019/12/14, 27, 15, 22, 14,occitanie
2019/12/15, 35, 40, 31, 21,occitanie
2019/12/16, 50, 57, 32, 17,occitanie
2019/12/17, 67, 55, 25, 23,occitanie
2019/12/18, 59, 45, 30, 15,occitanie
2019/12/19, 47, 52, 32, 22,occitanie
2019/12/20, 42, 12, 30, 16,occitanie
2019/12/21, 29, 6, 35, 10,occitanie
2019/12/22, 18, 12, 34, 12,occitanie
2019/12/23, 27, 18, 25, 17,occitanie
2019/12/24, 54, 11, 28, 19,occitanie
2019/12/25, 15, 20, 25, 17,occitanie
2019/12/26, 57, 15, 32, 12,occitanie
2019/12/27, 44, 15, 26, 15,occitanie
2019/12/28, 48, 12, , 10,occitanie
2019/12/29, 34, , , ,occitanie
2019/7/1, 61, 22, 46, 14,occitanie
2019/7/2, 55, 18, 54, 13,occitanie
2019/7/3, 44, 21, 59, 14,occitanie
2019/7/4, 49, 26, 36, 13,occitanie
2019/7/5, 58, 24, 33, 8,occitanie
2019/7/6, 58, 27, 42, 6,occitanie
2019/7/7, 63, 17, 53, 12,occitanie
2019/7/8, 45, 21, 33, 10,occitanie
2019/7/9, 52, 15, 36, 10,occitanie
2019/7/10, 43, 11, 45, 12,occitanie
2019/7/11, 29, 12, 29, 11,occitanie
2019/7/12, 34, , 30, 14,occitanie
2019/7/18, 34, 14, 41, 10,occitanie
2019/7/19, 28, 23, 40, 12,occitanie
2019/7/20, 44, 24, 39, 9,occitanie
2019/7/21, 60, 20, 37, 11,occitanie
2019/7/22, 51, 24, 40, 10,occitanie
2019/7/23, 55, 20, 42, 14,occitanie
2019/7/24, 52, 22, 31, 12,occitanie
2019/7/25, 54, 20, 34, 8,occitanie
2019/7/26, 51, 13, 29, 7,occitanie
2019/7/27, 30, 7, 32, 1,occitanie
2019/7/28, 15, 10, 37, 9,occitanie
2019/7/29, 27, 13, 33, 4,occitanie
2019/7/30, 33, 11, 35, 7,occitanie
2019/7/31, 28, 14, 45, 10,occitanie
2019/8/1, 29, 18, 46, 13,occitanie
2019/8/2, 36, 13, 49, 8,occitanie
2019/8/3, 28, 17, 58, 10,occitanie
2019/8/4, 39, 26, 44, 14,occitanie
2019/8/5, 55, 25, 37, 10,occitanie
2019/8/6, 56, 21, 41, 11,occitanie
2019/8/7, 44, 14, 38, 11,occitanie
2019/8/8, 34, 28, 29, 12,occitanie
2019/8/9, 58, 28, 33, 5,occitanie
2019/8/10, 56, 15, 41, 7,occitanie
2019/8/11, 39, 13, 36, 5,occitanie
